,geometry,x,y,cluster
10656060972,POINT (-13626662.037703147 4545214.816460435),-13626662.037703147,4545214.816460435,174
10656516840,POINT (-13626778.822980938 4546063.57727664),-13626778.822980938,4546063.57727664,281
10656761597,POINT (-13626853.151004942 4544552.871017043),-13626853.151004942,4544552.871017043,70
10660410522,POINT (-13627289.133790635 4549307.396748886),-13627289.133790635,4549307.396748886,111
10665597196,POINT (-13627116.621975752 4548899.707247261),-13627116.621975752,4548899.707247261,262
10665929299,POINT (-13633868.004377024 4547419.642897842),-13633868.004377024,4547419.642897842,216
10665929300,POINT (-13633657.08733782 4547667.171815132),-13633657.08733782,4547667.171815132,216
10674689335,POINT (-13631096.917160759 4549329.173316442),-13631096.917160759,4549329.173316442,121
10674834861,POINT (-13630049.846030358 4549505.444053035),-13630049.846030358,4549505.444053035,40
10674834862,POINT (-13630033.87168343 4549506.880825338),-13630033.87168343,4549506.880825338,40
10675012770,POINT (-13626659.332639521 4546212.178785683),-13626659.332639521,4546212.178785683,251
10676901138,POINT (-13625890.070430344 4541010.880808799),-13625890.070430344,4541010.880808799,21
10676961409,POINT (-13626251.62500449 4540957.890377829),-13626251.62500449,4540957.890377829,242
10679896334,POINT (-13626025.846813263 4541425.425873128),-13626025.846813263,4541425.425873128,182
10679932190,POINT (-13625992.306250686 4541320.440385993),-13625992.306250686,4541320.440385993,21
10679941955,POINT (-13626004.440075185 4541265.477900192),-13626004.440075185,4541265.477900192,21
10681921361,POINT (-13633821.806788344 4547464.72325524),-13633821.806788344,4547464.72325524,216
10682058859,POINT (-13627285.259872353 4549544.532781989),-13627285.259872353,4549544.532781989,111
10691775450,POINT (-13627837.170775758 4545116.354094164),-13627837.170775758,4545116.354094164,87
10696046318,POINT (-13627836.859081184 4552191.455938855),-13627836.859081184,4552191.455938855,53
10698147307,POINT (-13633329.362756923 4547764.6301949825),-13633329.362756923,4547764.6301949825,72
10698162380,POINT (-13633213.757465735 4547986.464079108),-13633213.757465735,4547986.464079108,72
10698549700,POINT (-13628383.816267246 4547783.657219215),-13628383.816267246,4547783.657219215,225
10698558719,POINT (-13628249.609489147 4547962.549564768),-13628249.609489147,4547962.549564768,225
24306412,POINT (-13625958.648125302 4548825.92047528),-13625958.648125302,4548825.92047528,132
24445986,POINT (-13626181.617983248 4544635.875646486),-13626181.617983248,4544635.875646486,257
24446086,POINT (-13627261.429604806 4548271.3548616115),-13627261.429604806,4548271.3548616115,266
24563077,POINT (-13625651.327099893 4549109.968946271),-13625651.327099893,4549109.968946271,237
24744117,POINT (-13627100.49049376 4552214.453759142),-13627100.49049376,4552214.453759142,258
25298444,POINT (-13625743.354762005 4549037.242504641),-13625743.354762005,4549037.242504641,237
25759141,POINT (-13627434.45805265 4548119.242303194),-13627434.45805265,4548119.242303194,266
26028371,POINT (-13629842.70117881 4551098.618694314),-13629842.70117881,4551098.618694314,91
27146056,POINT (-13624985.859093051 4550565.660678679),-13624985.859093051,4550565.660678679,263
28000041,POINT (-13628129.459443733 4555053.231915647),-13628129.459443733,4555053.231915647,77
28694017,POINT (-13635604.382492345 4541858.750269761),-13635604.382492345,4541858.750269761,99
29902626,POINT (-13626645.222242678 4551436.491373236),-13626645.222242678,4551436.491373236,147
30675038,POINT (-13632210.40272213 4547355.332284696),-13632210.40272213,4547355.332284696,168
30896932,POINT (-13633140.754083358 4546965.69385198),-13633140.754083358,4546965.69385198,126
32016321,POINT (-13625206.583073664 4551124.699844938),-13625206.583073664,4551124.699844938,88
32112931,POINT (-13628539.50091154 4543357.956162533),-13628539.50091154,4543357.956162533,11
32146723,POINT (-13629414.107239788 4544197.574159227),-13629414.107239788,4544197.574159227,223
32610420,POINT (-13626367.271952389 4551071.569635495),-13626367.271952389,4551071.569635495,255
32650566,POINT (-13632246.566833913 4551051.994170662),-13632246.566833913,4551051.994170662,26
32650734,POINT (-13631683.404932523 4551443.64914289),-13631683.404932523,4551443.64914289,163
32864112,POINT (-13626765.20860721 4548285.30859485),-13626765.20860721,4548285.30859485,279
32864985,POINT (-13626822.20332066 4548600.148744414),-13626822.20332066,4548600.148744414,110
32865161,POINT (-13627832.763101876 4548192.954241697),-13627832.763101876,4548192.954241697,85
32865757,POINT (-13627845.690599022 4548329.664446332),-13627845.690599022,4548329.664446332,85
32866034,POINT (-13626649.781190848 4551160.768019187),-13626649.781190848,4551160.768019187,147
32946083,POINT (-13625914.583616966 4550651.010246253),-13625914.583616966,4550651.010246253,247
32946665,POINT (-13625843.980637755 4549626.404599939),-13625843.980637755,4549626.404599939,209
32946942,POINT (-13627005.380258888 4550062.746613122),-13627005.380258888,4550062.746613122,156
32947040,POINT (-13626944.288280932 4549969.892469693),-13626944.288280932,4549969.892469693,156
32947763,POINT (-13625672.579975206 4551072.312773089),-13625672.579975206,4551072.312773089,247
32963425,POINT (-13625900.097005667 4549177.862585614),-13625900.097005667,4549177.862585614,36
32964914,POINT (-13629487.703739231 4549382.687743258),-13629487.703739231,4549382.687743258,40
32965008,POINT (-13629065.50899899 4549723.737115033),-13629065.50899899,4549723.737115033,108
33570646,POINT (-13627077.411527175 4549362.777303511),-13627077.411527175,4549362.777303511,111
34220947,POINT (-13633278.16135713 4547040.361596346),-13633278.16135713,4547040.361596346,126
35065740,POINT (-13626973.3315272 4551578.748496729),-13626973.3315272,4551578.748496729,103
35115840,POINT (-13627138.32720025 4548302.171709013),-13627138.32720025,4548302.171709013,266
35115841,POINT (-13626730.983013203 4548392.687585303),-13626730.983013203,4548392.687585303,279
35174721,POINT (-13627718.517584793 4547779.361892961),-13627718.517584793,4547779.361892961,295
35174746,POINT (-13627171.830250066 4547940.340896347),-13627171.830250066,4547940.340896347,176
35176305,POINT (-13627519.253817283 4548667.839132451),-13627519.253817283,4548667.839132451,186
35176313,POINT (-13626873.708954073 4548921.638488161),-13626873.708954073,4548921.638488161,260
35176497,POINT (-13627294.785148092 4548155.777111189),-13627294.785148092,4548155.777111189,266
35266543,POINT (-13625659.907213254 4550583.117364089),-13625659.907213254,4550583.117364089,247
35537202,POINT (-13626224.109791191 4550857.558842185),-13626224.109791191,4550857.558842185,283
35599686,POINT (-13634058.772588396 4546116.628884445),-13634058.772588396,4546116.628884445,172
36654283,POINT (-13632803.892917419 4548485.262711113),-13632803.892917419,4548485.262711113,153
36950390,POINT (-13630719.097003607 4549183.406037777),-13630719.097003607,4549183.406037777,124
37312394,POINT (-13627245.634294199 4552447.987958073),-13627245.634294199,4552447.987958073,258
37312428,POINT (-13627163.989573665 4552412.462758754),-13627163.989573665,4552412.462758754,258
38092130,POINT (-13633472.928894375 4548716.020625132),-13633472.928894375,4548716.020625132,272
42916779,POINT (-13627890.22176857 4547305.359490471),-13627890.22176857,4547305.359490471,140
50237172,POINT (-13633998.767497022 4542365.675736471),-13633998.767497022,4542365.675736471,278
51239671,POINT (-13634274.019955797 4543200.747179948),-13634274.019955797,4543200.747179948,49
55953431,POINT (-13637000.171327407 4541803.775935756),-13637000.171327407,4541803.775935756,58
55954315,POINT (-13636626.825297734 4541795.946193408),-13636626.825297734,4541795.946193408,58
55954317,POINT (-13637008.757326804 4541920.398217786),-13637008.757326804,4541920.398217786,58
58524120,POINT (-13629051.963667491 4551956.49947124),-13629051.963667491,4551956.49947124,207
66642926,POINT (-13626264.254200721 4550288.824274963),-13626264.254200721,4550288.824274963,114
66643085,POINT (-13626561.81307306 4550451.663256477),-13626561.81307306,4550451.663256477,198
68862760,POINT (-13626272.822996408 4550309.800480796),-13626272.822996408,4550309.800480796,114
68876388,POINT (-13633091.784068557 4548654.042448077),-13633091.784068557,4548654.042448077,189
69707525,POINT (-13627801.47518752 4550601.214489615),-13627801.47518752,4550601.214489615,80
71209420,POINT (-13627245.355005909 4549071.418509678),-13627245.355005909,4549071.418509678,262
71209436,POINT (-13627102.687179144 4549293.55743393),-13627102.687179144,4549293.55743393,111
71504438,POINT (-13626647.478208786 4549355.242093969),-13626647.478208786,4549355.242093969,289
71504452,POINT (-13626685.13119005 4549349.3263334455),-13626685.13119005,4549349.3263334455,19
71515257,POINT (-13626900.93164726 4549731.763694794),-13626900.93164726,4549731.763694794,221
86206694,POINT (-13629511.27815639 4544422.156284411),-13629511.27815639,4544422.156284411,92
93703734,POINT (-13627119.477499332 4552160.661581121),-13627119.477499332,4552160.661581121,288
97638171,POINT (-13624782.615729941 4544793.484555389),-13624782.615729941,4544793.484555389,180
99776277,POINT (-13629373.874576159 4545859.895451415),-13629373.874576159,4545859.895451415,50
103383866,POINT (-13626053.913444446 4547723.807379706),-13626053.913444446,4547723.807379706,125
